FEN,Move
7k/r3pqr1/p2p4/2pP2Bp/7P/2N5/PPP1Q3/2K1R3 w - - 3 30,e1f1
r3r1k1/pp2qp1p/6p1/8/4p3/2NnP1Q1/PP4PP/R1B2R1K b - - 3 19,a8d8
1r3rk1/p4ppp/4p3/2PpR3/1P6/8/P4PPP/2R3K1 w - - 1 25,c1b1
r1b1k2r/p1p2pb1/2p2n1p/6p1/2P5/2N1P1B1/PP3PPP/R3KB1R w KQkq - 2 13,g3c7
r1k5/p2N4/b2P3p/1pp2p2/8/6P1/PPP3Q1/1K1R4 w - - 1 33,g2e2
3rkb1r/2p2p2/b4n1p/4p3/8/2N5/PPP3PP/R3K2R w KQk - 2 18,a1d1
r4r2/p7/3kq3/2p5/2P1p3/1P1PQ1Pp/5P1P/1R3RK1 w - - 0 32,b1d1
r1r5/pp3pkb/4pqpp/1Q6/2N1Pn2/1P3B1P/P4PP1/2R2RK1 b - - 4 21,f4h3
1r1qkb1r/3n1ppp/2p1bn2/p2p2B1/N2P4/PB3N2/2P2PPP/R2QK2R w KQk - 1 13,g5f4
r4rk1/pp3pp1/3R3p/2p5/4P2P/8/q1P1QPP1/3RK3 b - - 1 19,a7a5
3k1r2/2p2pb1/p1Bp4/1p2p2p/7P/P7/1PP2PP1/2KRR3 b - - 0 21,e5e4
rnb2rk1/1pq1ppbp/2p3p1/p1PnP1N1/3P4/P7/1P2B1PP/RNBQ1R1K w - - 1 16,b1c3
Q3k2r/p1pp2pp/1p2pn2/6q1/8/2B2P2/PPP2PPP/R4RK1 b k - 0 14,e8f7
rn2kb1r/pb3ppp/4pq2/1pp5/4N3/1P1P2P1/P1P2PBP/R2QK1NR b KQkq - 0 9,f6e5
3r4/4p3/1p3k2/p2n1Pp1/3P2P1/1N5P/P3R3/5RK1 w - - 0 29,f1e1
1r2q1k1/p1p1rpbp/3p1np1/3P4/2P1p3/1PBnP1PP/P2N1PB1/R2Q1RK1 w - - 8 18,a1b1
r2q1rk1/pp1n1ppp/2p1pn2/3pN3/3P1Pb1/2N5/PPPQBPPP/2KR3R b - - 4 10,g4e2
rnbqk2r/5ppp/2pp1n2/ppb1p1B1/4P3/1BNP1N2/PPP2PPP/R2Q1RK1 w kq - 0 9,d3d4
1rb2rk1/2q1ppbp/p2p1np1/1pp2P2/4P1P1/2PP1BNP/PP6/R1BQ1RK1 w - - 1 16,c1g5
8/1p5p/7P/7P/p1p5/1k2p3/5b2/1K6 w - - 0 58,b1c1
rnb2knr/pp1p1ppp/2p1p3/6Q1/4P2P/3P4/P1PBKPP1/q4BNR b - - 3 9,a1f6
5rk1/p6p/1p4p1/2p2B2/2P1K3/1P6/P6P/3R4 b - - 0 25,f8f5
1k3b1r/2p5/p1n2p2/1p2pB2/4N3/2Pr1p2/PP3B2/R5KR b - - 1 26,h8h1
4r2k/6pp/8/p1q5/6B1/1P1R1P2/P5PP/5K2 b - - 0 38,c5c1
4R3/5p2/1p1k1P1p/2p3p1/8/3p4/5KPP/2r5 w - - 0 37,e8d8
r3rnk1/bpp2pp1/p1n1B2p/4p3/4P3/2P1BNN1/PP3PPP/3RR1K1 b - - 0 16,f8e6
8/5b2/1p6/4k3/7N/p7/2K5/8 w - - 1 46,h4f3
8/ppk5/2p5/4P3/1P5p/3Kp3/P1P2br1/5R2 w - - 0 34,f1d1
r1b1kbnr/pppp1ppp/1n6/8/3P4/6PP/PPP5/RNBK2q1 w kq - 0 12,d1d2
1r4rk/2pB1R2/3p2p1/2p1p3/4P2q/1pPPB2P/P5P1/2R3K1 w - - 0 26,a2b3
8/2b2ppp/8/8/1K1pk3/2p5/5PPP/2B5 b - - 6 35,e4d3
rnb1kbnr/ppp1pppp/3q4/8/2B1pP2/2N5/PPPP2PP/R1BQK1NR b KQkq - 3 4,g8f6
6k1/2qn3p/r1pb1pp1/1p1pp3/3P4/P3P1P1/1P1Q1PBP/2R1R1K1 w - - 0 23,g2d5
1n1qk1nr/3b1ppp/1p2p3/r2p4/3P4/2N1P3/P1QB1PPP/R3KBNR b KQk - 3 13,g8f6
r3k2r/pp4pp/4p3/8/1np5/4B2P/P4PP1/5RK1 b kq - 1 21,b4d5
8/p7/kp5p/2p2R1P/8/3P3r/P1P5/3K4 b - - 1 31,a6b5
8/6kp/4R3/1P1p2pb/3P4/3N4/r4r1P/2R3K1 b - - 1 37,f2g2
8/8/p5p1/2p4k/6Q1/6P1/P4P1P/2B2RK1 b - - 0 30,h5g4
r4r1k/1pp3p1/pb5p/3p4/PP6/5N1Q/5qPP/2R4K b - - 1 29,a8e8
r5k1/p3rpp1/N1p1p2p/1p2n3/8/2P2P2/PPBR2PP/2KR4 w - - 0 28,d2d8
3r3k/2R4p/3q2p1/5p2/3b1P2/1B1PQ3/2P3PP/5R1K w - - 1 36,e3e7
2r2rk1/ppq3pp/2pbQpn1/8/2PP1P2/3B4/PP4PP/R1B2RK1 b - - 0 22,g8h8
rn1qkb1r/p5pp/8/3np3/8/1P6/P1PPQPPP/R1B1K2R w KQkq - 0 13,e2h5
6k1/5pp1/1n2p2p/1q6/3P4/1pP3P1/rP1N1PP1/1R1Q2K1 b - - 4 30,g8h8
r3kb1r/pp4pp/4pn2/3p4/8/PN1nBN2/2R2PPP/R5K1 w kq - 0 18,c2d2
r1b2rk1/p1q2p1p/2pp2p1/1p2B3/4P3/7P/PPP1BPP1/1R1QK2R b K - 0 16,d6e5
1rbqrb1k/5p1p/2n2Pp1/1pPNp1P1/3pP3/3P4/Q3N1BP/2R2RK1 w - - 1 27,e2g3
4r2r/p2n4/1k6/2pp2B1/1p1Nb1NP/8/PP1K1P2/2R3R1 w - - 4 28,f2f3
3r2r1/1p3pqp/1knNb1p1/2p1P1P1/Q4P2/2NB3P/PPP5/2KR3R b - - 0 22,d8d6
6rk/2p2pr1/p4pq1/1p5p/4P3/P1PQ1RP1/1P5P/R4N1K w - - 0 31,f3f4
r1b1k2r/pp1p1ppp/2n1pn2/q7/N1P5/3BP3/PPQN1PPP/R3K2R b KQkq - 0 11,c6b4
7k/p2r1pbp/1p1P2p1/3N4/4p3/6P1/PP3P1P/2RQ2K1 w - - 0 27,c1c8
5rk1/2p2pp1/6p1/4q3/2Q1p3/2n4P/P4PP1/1R5K b - - 2 24,c3b1
r4bnr/pp1kqnpp/2pp4/1B3b2/5P2/4P3/PPPB2PP/RN1QK2R b - - 1 16,c6b5
r1b1kb1r/pppnp1p1/8/4N2p/5P2/4B3/PPP1K1PP/RN3B1n b kq - 1 12,d7e5
2kr1b2/ppn3p1/2p1p3/2P5/KP6/P4r2/6Bp/8 w - - 0 37,g2f3
r2qkb1r/1p3ppp/p1n1pn2/2Pp4/1P1P4/P7/2Q2PPP/RNB1K1NR b KQkq - 0 11,c6d4
r1b1qrk1/pp1p1ppp/2p5/4P1B1/3Q4/2N2N2/PPP2KPP/R7 b - - 3 15,h7h6
r7/pp1bkp2/2n2n1p/2b3p1/8/P1qPP2P/3NBPPB/R2Q1RK1 b - - 3 18,c6a5
2r3k1/1b3ppp/4p3/p1q5/P1P2P2/2N1PR2/6PP/3Q2K1 w - - 1 26,f3f2
rnb2rk1/pp3ppp/2p3n1/3q4/8/2Q1PN1P/PP2BPP1/R1B1K2R w KQ - 4 12,h3h4
5r2/pp1r1pk1/2p1b1p1/3pP3/5P2/P2K2P1/8/8 w - - 0 36,d3d2
r3k2r/1ppqbpp1/p1npbn1p/4p3/6P1/1PN1PP1P/PBPPQ1B1/2KR2NR w kq - 1 11,f3f4
8/p4k1p/1p1b1p2/2p1q3/P2p1NQP/5P2/6PK/8 w - - 1 38,g2g3
1rq2rk1/1p1n3p/p3p1p1/2p2p2/P1P1BP2/P1Q1P2P/3P2P1/1R3RK1 w - - 0 23,e4f3
Qn3rk1/p5pp/2N2p2/2bp4/8/2P5/PP4PP/R4K1R b - - 0 17,b8d7
5qk1/5p1p/4pQp1/p1p1N3/Pn6/1P2P2P/5PP1/6K1 w - - 12 36,f6f3
1rbq1rk1/p1pnbppp/1p2pn2/8/3PN3/2NB1Q2/PPP2PPP/R1B2RK1 w - - 2 10,f1e1
rnb2rk1/ppq2pbp/2pp1pp1/8/3PP3/2NB1N2/PPP2PPP/R2Q1RK1 w - - 6 9,d1d2
8/5p2/1N1k4/2rP2p1/4K1P1/7P/8/8 w - - 2 44,e4d4
r1b1kb1r/ppqpnppp/2p1p3/8/8/5B2/PPPP1PPP/RNBQ1RK1 b kq - 3 8,d7d5
1q6/3p2pp/4p1k1/4P3/8/2R5/1B5P/1K6 b - - 0 43,b8b4
3rr1k1/pppq1ppp/2n2n2/3p4/4P1b1/2PP1NP1/PPQNB1P1/2KR3R b - - 0 13,d7d6
r5k1/pb1q2bp/2pp1pp1/8/7B/2PQ4/P1P2PPP/3RN1K1 b - - 0 18,a8d8
rnbq1rk1/pp3ppp/2p1pn2/2bp4/5P2/4PNP1/PPPP2BP/RNBQ1RK1 w - - 1 7,d2d4
r1b1k1nr/ppp2pp1/2n4p/3q2N1/1bPPp3/8/PP3PPP/RNBQKB1R w KQkq - 1 8,b1c3
r1b5/7K/8/5k2/2p5/1q6/q7/1q1q4 w - - 0 56,h7h8
2b2bk1/ppp2p1p/2n1r1p1/8/2P1p2Q/1PB4P/P1B2PP1/3R2K1 b - - 2 26,e4e3
rn1qkb1r/pp3p1p/2p2np1/3pNp2/3P1P2/2P1P3/PP4PP/RNBQK2R b KQkq - 0 8,f6e4
1r3rk1/7p/p5p1/1p3q2/2bQ1P2/P3P2P/6P1/R1R3K1 b - - 0 28,f5e6
2r5/2q2pkp/1p1bbN2/pP1p1n2/P7/2P1P2P/4B1P1/2RQB1K1 w - - 1 26,f6d5
r2qkb1r/pp1npp1p/2p1bnp1/3pN3/3P4/3B1Q2/PPP2PPP/RNB1K2R b KQkq - 1 8,c6c5
r4rk1/1b2b3/p3pn1p/1p6/3q3B/1QN5/PP3PPP/R3R1K1 w - - 0 18,e1e6
1B6/4q1kp/2p2bp1/1p1p4/pP6/n1P2QPB/5PKP/8 w - - 0 36,f3g4
2k2r2/1p1r2p1/8/8/3p1K2/3R3P/5P2/8 w - - 1 53,f4e4
3k4/2p5/3p2p1/P6p/3p4/3P3B/2P5/5K2 w - - 1 31,a5a6
r6q/pp1N1kr1/4p1nB/3pPp2/8/1BP1b3/P3Q2P/R4K2 b - - 2 26,h8h6
5r1k/p5p1/6pp/1pq5/6P1/7P/PP2Q1K1/R1B5 b - - 2 25,c5c6
5r2/6k1/8/3QP3/3P4/6P1/5PKP/8 w - - 1 38,e5e6
3r1rk1/1p4pp/p2pq3/3R4/3Rp3/1P2P2P/1PPQ2P1/6K1 w - - 2 24,d5d6
b4rk1/3pNpp1/p2p3p/3p3Q/1q6/4P2P/3r1PP1/1B3RK1 b - - 5 25,g8h8
1k1r3r/1pp2ppp/R4q2/3P4/1b6/2N2P2/1PP4P/3QKB1R w K - 0 15,a6f6
r1b1qrk1/pppp1ppp/8/3P4/2P1P1n1/2BB3P/PP2Q1P1/RN2K1NR b KQ - 0 13,g4e5
r2qkb1r/pppnpp1p/3p1np1/8/4PP2/3P1N2/PPP1Q2P/RNB1K2R b KQkq - 0 7,c7c6
8/4k1P1/4B2K/8/8/8/8/8 w - - 1 69,e6h3
8/1R3pk1/7p/6p1/3bP3/1P4P1/1Pr4P/5K2 b - - 3 32,c2h2
rnbq1bnr/7k/2pp4/1p2p1B1/p2PP3/5Q2/PPP2PPp/RN3RK1 w - - 0 15,g1h1
2R1b1k1/4qppp/1p6/3p4/1P6/P3PB2/3B1PPP/4R1K1 w - - 1 24,b4b5
2r5/2k5/2r3pp/5p2/1P6/5Q1P/P4PP1/R5K1 b - - 0 36,h6h5
8/5pp1/5k1p/1rp1r3/3p2P1/1P1R1PKP/8/2R5 w - - 3 44,b3b4
r4rk1/pp3pp1/2p1p1bp/8/8/1Q6/PP1q1PPP/2R1R1K1 b - - 1 19,f8b8
rnbqk1nr/pp2ppb1/2pp3p/6p1/2B1P3/P1N2N1P/1PPP1PP1/R1BQK2R b KQkq - 2 6,g8f6
3k3r/pp1n1ppp/2pb4/3p1n2/7P/2N2PP1/PPP1RPB1/5RK1 b - - 1 16,d8c7
2R5/p4pkp/6p1/3N4/8/P5P1/4RK1P/8 b - - 0 33,g7h6
r3k2r/ppp2p2/2nq1p1p/3p1b2/3P4/4PN2/PPQ1BPPP/R4RK1 w kq - 4 14,c2f5
r1b2rk1/p4pp1/q2p3p/2bP4/2N1P3/1Q6/PP1N1PPP/2KR3R b - - 1 15,c8d7
6k1/p5pp/8/2p2p2/P4N2/1P1b1n2/3P1P1P/2K4R b - - 1 25,d3e4
8/6p1/p7/1pp1k1KP/8/1P6/PP4b1/8 w - - 0 35,g5g6
8/R4k2/3r4/5PK1/8/8/8/8 b - - 2 57,f7g8
2rr4/p4kpp/4bp2/2qp1p2/N4P2/P3P3/2P2QPP/R3R1K1 b - - 1 22,c5b5
r1b1kb1r/3n1ppp/1qn1p3/p1ppPP2/1p1P4/4BN2/PPPQB1PP/R2N1RK1 b kq - 0 12,e6f5
r3r1k1/pp3ppp/2p4q/8/1P3Q2/P7/5P1P/4RR1K b - - 0 24,h6f4
r4rk1/5ppp/4p3/pP1p4/1NnP4/2pQP1qP/2P3B1/R1B2RK1 w - - 2 23,b4c6
r4k2/1Qpqb1pp/8/p1BPnP2/8/P6P/1P4P1/4RRK1 b - - 0 25,e7c5
1r3rk1/pp4p1/2pbp2p/8/8/P2P4/1PP2PPP/2R2R1K w - - 0 19,g2g3
r3kb1r/ppN2ppp/2n1pq2/3pN3/3P4/8/PP2PPPP/R2QKB1R b KQkq - 2 10,e8d8
rn1q1rk1/p4ppp/4p3/2pn4/8/1P2PP1N/P2B2PP/R2QKR2 b Q - 1 13,d8d6
r2qk1nr/pbpn1ppp/1p1bp3/6B1/3P4/2N2N2/PPP2PPP/R2QKB1R b KQkq - 3 7,d6e7
8/1p3kp1/p7/P2n4/1P1P2b1/4p2p/2N3n1/5K1R w - - 2 38,f1g1
8/3Q3p/3p2pk/2p5/p7/2q4P/P1P2PP1/4rRK1 w - - 3 26,d7a4
r1b1k1nr/ppp2ppp/3q4/1P6/2BN4/4P3/5PPP/1N1QK2R b Kkq - 1 14,g8f6
r1bk3r/ppp2ppp/3p4/3N4/8/4Pn2/PPP2RPP/R5K1 w - - 0 15,g2f3
r1bq1rk1/2p3b1/p1n1p2p/3pPnN1/1p1P2Q1/2P5/PP2BPP1/RNB1K2R b KQ - 0 16,h6g5
6k1/2p5/pp6/6pp/8/3K4/5r2/8 b - - 1 42,h5h4
rn1qk2r/pbp1bppp/1p1pp3/8/3P1n2/3BPN2/PPP1NPPP/R2QK2R w KQkq - 0 9,e2f4
4N3/1p5p/4k3/2b1p1P1/2P1p2P/1r6/4K3/8 w - - 2 46,e8c7
rn1qkb1r/4n1pp/pp1p1p2/3Bp3/PP2N3/2P2N2/5PPP/R1BQ1RK1 b kq - 0 13,b8c6
1r2k2r/p3nppp/b1p1p3/q1p1n1P1/2P1P2P/1P1P3B/P1K5/RN1Q2NR b k - 2 17,b8d8
rn3rk1/pp1qn1Bp/3p2p1/3P1p2/PPP1p3/8/4NPPP/RN1QK2R b KQ - 0 14,g8g7
5r1k/2p3pp/3p1q2/R1PQ4/4p1R1/3b4/3N2PP/6K1 w - - 4 32,h2h3
r3k2r/3bbppn/3pn3/1pp1p1Pp/4P2P/P1NP1N2/1P1Q1PB1/R3R1K1 b kq - 0 18,f7f6
rn1qk1nr/pbp2pbp/1p1pp1p1/8/2PPP3/1N3P2/PP4PP/R1BQKBNR w KQkq - 0 7,c1e3
rnb1k2r/ppppnppp/5q2/4p3/2P1P3/P1P2N2/3P1PPP/R1BQKB1R b KQkq - 2 6,d7d6
r2q1rk1/p1p1bppp/2pp1n2/P7/1P1P4/2P1P3/3N1PPP/R2Q1RK1 b - - 0 15,f8e8
3r4/8/4k3/2R5/4P3/4KP2/r7/8 b - - 3 44,a2a3
8/p1Q3pk/6p1/4p3/4P3/8/5PP1/2q3K1 w - - 0 36,c7c1
rnbqkb1r/ppp1p1pp/8/5p2/3p4/1PnPPQ1N/P1P2PPP/R1B1KB1R w KQkq - 0 7,c1b2
r3k2r/2qnppb1/2pp2p1/p5B1/4P2P/2N5/PPPQ4/R4RK1 w kq - 4 17,d2f2
rnb1kbnr/ppp2ppp/5q2/4p2Q/4P3/5N2/PPPP2PP/RNB1KB1R b KQkq - 3 5,b8d7
r1q1k2r/ppp1bppp/2np1n2/4p2b/2P5/P1NPB1PP/1P2PPB1/2RQK1NR b Kkq - 0 9,h7h6
3q1rk1/2n1pp1p/pr1p2p1/2pPn3/2P1P3/7P/1PQ1BPP1/R1N2RK1 b - - 4 20,e7e6
4k3/8/3p4/K1r5/P2RP3/8/8/8 w - - 1 56,a5b6
3r4/pk2bp2/1p2p1p1/2prP2p/1P1P1P1P/P1KR2P1/4N3/3R4 w - - 0 35,d4c5
2kr3r/pp6/8/2b1B2p/8/1P6/P1P3PP/R4R1K b - - 0 20,h8e8
4r1k1/4B1pp/p1p3b1/8/3PpP2/4P2P/6P1/R5K1 b - - 0 34,e8e7
2bq1r1k/r1p1n1pn/1p5p/pP1Ppp2/P1BQ4/2N2N2/5PPP/3RR1K1 w - - 0 19,f3e5
3r3r/p1p2k2/1p2pp1q/4n1p1/4R3/1BP5/P1P1QPRP/7K b - - 15 26,h6h5
r4rk1/1pqn1ppb/p1npp2p/7P/P3P1Pb/1BN2PN1/1PP2BK1/R2Q1R2 b - - 6 18,b7b6
1k5r/ppp1q3/5p1n/4b1p1/7p/1QP1PP2/PP2BP1P/2KR3R b - - 1 18,h4h3
4k3/2p2p2/8/8/5q2/6p1/1pK5/8 b - - 1 68,g3g2
1rbq1rk1/2pn1pbp/p2p1n2/4ppP1/2BPP3/2N1B2P/PP2N3/R2Q1RK1 w - - 0 15,g5f6
8/Q7/5k2/P5N1/8/5KPP/5P2/8 b - - 0 51,f6g6
r3k1nr/ppp2ppp/2n1b3/4P3/2PN4/4P2P/PP1N2P1/R3KB1R b KQkq - 2 11,c6e5
7k/pp4p1/6p1/2B5/1P2q3/2P4P/P1KRr1P1/4q3 w - - 3 34,c2b3
5rk1/p5pp/b3p3/3pN3/3P1P2/1P4P1/P6P/2R3K1 b - - 0 27,h7h6
1rq3k1/Rb3pp1/2p1pn1p/1pPp4/1P1P1P2/6PP/2B1QP2/R5K1 w - - 6 26,a7a5
8/p5rp/5k2/8/4Q3/8/PPPP1PPP/R1B2RK1 w - - 5 27,e4f4
R1krn1r1/1p3ppp/1q6/1N1p4/5Q2/2P1P3/3P1PPP/6K1 b - - 6 27,c8d7
rn2r1k1/pp4pp/8/q2p4/3Nnpb1/1P1BPN2/P1P2PPP/R2QRK2 b - - 5 14,b8c6
r3kr2/p2n4/1p4p1/3pq2p/7P/1P2N3/P5R1/4KRQ1 b q - 9 35,e8c8
rnbqk2r/pp2B1pp/2p1p3/5p2/3P4/2N5/PPP2PPP/R2QKBNR b KQkq - 0 8,d8e7
rn3rk1/ppq1bpp1/2pp1n1p/4p3/1PBPP1bB/P1N2N2/2P2PPP/R2Q1RK1 w - - 1 11,d4e5
r4rk1/pbppqppp/1p1b1n2/1P6/2BPn3/P3PP1P/1BP1Q1P1/RN2K1NR b KQ - 0 13,e4g3
rnb1kb1r/1p3pp1/p1p1pn1p/q2p4/1PPP4/P3PNP1/5PBP/RNBQK2R b KQkq - 0 8,f8b4
r2q1rk1/2ppppbp/1p3np1/p7/2PP4/1PNnP3/PB2NP1P/1QK4R w - - 0 13,b1d3
r4B2/1p3pk1/5npb/p1Pp2qp/P2N1n2/3P1B1P/2P2PPK/R2QR3 b - - 0 24,g7f8
3r2k1/1pp3pp/1p1b1p2/8/2b5/2P3Q1/P4PPP/4R1K1 w - - 6 27,g3g4
r6r/1b2kppp/1b2pn2/pN6/1P6/P4P2/2PB2PP/2KR1B1R b - - 1 15,h8c8
3r1rk1/3bQp2/pp1p3p/8/8/6P1/PPP3P1/6K1 w - - 0 30,e7f6
3q1rk1/5p1p/4p1pb/3pP3/P2Pb3/4P3/3BQRPP/R5K1 w - - 1 24,d2b4
r6R/pp2k3/2p3Q1/3rB3/4p3/4P3/PPP2PP1/2K5 w - - 3 26,h8h7
8/2k5/8/1PP2p2/2K1p1p1/2BrP1P1/5P2/8 w - - 0 64,c3e5
6k1/pp1n2pp/2p3p1/3p1r2/1PP5/6B1/P5PP/3R2K1 b - - 6 25,a7a6
r1b1k1nr/p1p2ppp/3b2q1/3p4/8/2PN3P/PP1P1PP1/RNBQ1RK1 w kq - 1 11,f1e1
b1q2r1k/4Npp1/2p2n1p/1p2p2P/4P3/1B6/1PP1NPP1/3Q1RK1 w - - 1 21,e7c8
r4rk1/pp2bppp/1qn1p3/3pP3/2nP4/2N2N2/PPQ2PPP/R1BR2K1 b - - 4 15,h7h6
N1b2knr/p1Bp2pp/8/1pb1Q3/q4N2/2PP2P1/PP3PBP/R3K2R w KQ - 1 18,c7d6
1qrr2k1/p4pp1/1p1bp1p1/8/1PB1n3/P3PP1P/1B4P1/2R1QRK1 b - - 0 24,d6g3
1r1qk2r/p2b1pbp/6p1/2P1p3/3pB3/P3PP2/1PP3PP/R1BQK1NR b KQk - 2 12,f7f5
rnbqkbnr/pp2pp1p/3p2p1/8/3PP3/8/1BP2PPP/RN1QKBNR b KQkq - 1 6,d8b6
r1b1r1k1/pp1n1p1p/1b2p1p1/3pP3/1P3N1B/P1N3R1/2BQ2KP/R7 b - - 0 23,b6c7
r2qkb1r/ppp2pp1/2n1pn1p/5b2/2B2B2/2NP1N2/PPP2PPP/R2Q1RK1 w kq - 0 9,c4b5
1r3rk1/1p2qpp1/p1p2n1p/3p4/Q2Pb3/4PN1P/PP2BPP1/2R2RK1 w - - 0 17,f3e5
r2q1rk1/1bp2pp1/pp1ppn1p/P7/2PP4/2PBP3/2QN1PPP/RR4K1 b - - 1 15,f6d7
8/2p3k1/p3p1p1/1p5p/3q4/PP1B1r2/2P2N1P/5R1K w - - 0 29,h1g2
r1b1k2r/1p4pp/p1n5/3ppp2/4n3/3BBP2/PPP3PP/RN2K2R b KQkq - 0 12,e4f6
2kr1b1r/1bq1n3/5p2/p1pP4/1p6/1P2BB1p/P4P2/R2Q2KR w - - 1 33,f3g4
3r1nk1/p4rp1/1p1P3p/2pR4/2P5/5QP1/PB3P1P/3R2K1 b - - 0 27,f7f3
r4kq1/pB1p3p/1p2p3/4b3/8/2N3P1/P4P1P/R2Q1RK1 b - - 0 19,a8b8
r2q2k1/pp2p3/3p2pp/5r2/1P6/5N1P/P2N1PP1/Q3K2R w K - 0 16,e1g1
8/5k1p/R7/3K4/5P1P/4b3/8/4r3 w - - 8 37,a6h6
3r1r1k/ppp3pp/8/2b5/8/N1P3P1/PP3PKP/R1B2R2 b - - 1 18,d8e8
r6k/p2R3p/1p3p1N/6p1/8/8/PP3PPP/4K3 w - - 3 32,h6f7
r3k2r/pppq1ppp/1n2p1n1/2bPP3/5P2/2N2N2/PP4PP/R1BQ1RK1 w kq - 1 13,g1h1
1r5k/p2b1Qpp/1p3q2/2p5/2BpR1Pb/3P1P1P/PPP5/6K1 w - - 3 23,f7d7
8/7p/4K1p1/5p2/P2p4/1Pk2B1P/6P1/1R6 w - - 1 32,a4a5
r2qk2r/pppnbppp/3p1n2/4p3/4P3/3P1B1P/PPP2PP1/RNBQ1RK1 b kq - 2 8,e8g8
rnbq1rk1/pp3ppp/2p2n2/2bp4/2Pp4/1B2P3/PP2NPPP/RNBQ1RK1 w - - 0 8,e3d4
5k2/6p1/p5K1/Pb6/1P6/8/8/8 b - - 1 44,b5f1
2r2rk1/pp2ppbp/2npbnp1/q1p5/4P3/P1NP1N2/1PP1BPPP/R1B1QRK1 b - - 4 12,d6d5
rn3rk1/p3q1pp/2p5/1p1pP3/P1p2P2/2P3Pb/2Q1B2P/R1B2RK1 w - - 3 18,c1a3
q1r1r1k1/5p1p/p2p1npb/1p1Pp3/1P2Pn2/P4P2/1B1N2PP/1BR1RQ1K w - - 2 27,c1c8
5rk1/p3R3/1p4q1/2p1Q3/7p/2P3P1/PP3PK1/8 w - - 4 35,e7e6
r2qk2r/5ppp/2p1pb2/pp5P/3P4/2PB1P2/PPQ2P2/1K1R3R b kq - 0 17,h7h6
r2q1rk1/1b1nbppp/pp1ppn2/8/2PP4/P1NBBN2/1P3PPP/2RQR1K1 b - - 3 12,d6d5
r1b2rk1/ppp2ppp/2n5/4q3/4N3/2P5/P2NBPPP/R1BQ1RK1 b - - 6 12,c8f5
r1bqkb1r/pppp2pp/2n2n2/4pp2/4P3/1P1P1N2/P1P1BPPP/RNBQK2R b KQkq - 2 5,f5e4
2k4r/5ppp/1pp5/8/1P2PP2/2B3P1/2q4P/1N2R1K1 w - - 0 23,e4e5
5qk1/pp1Rp2p/2p1Prpb/4B3/2P5/8/PP2QPPP/1K6 b - - 4 24,f6e6
r1b4r/pppn1k1p/3p1n2/4p3/4P3/3P1PP1/PPP4P/RNBQ2KR b - - 0 14,h7h5
r2q1rk1/1bp1bppp/p2p1n2/2p3B1/3NP3/2N2P2/PPP1Q1PP/R4RK1 w - - 0 12,d4f5
1r4r1/1pQ1R1pk/2p4p/1p3p2/2P5/5P1P/1P4K1/8 b - - 0 32,b5c4
5rk1/pp5p/2nq1bp1/3p1p2/3P4/2P2Q2/P2B1PPP/1BR3K1 w - - 0 20,c1e1
rnb1kb1r/pppp1pp1/6Q1/4p3/3q4/3BP2N/PPPP1PPP/RNB1K2R b KQkq - 2 8,d4c5
8/2p4p/p5p1/1pP1k1P1/1P2p2P/n3P1N1/4K3/8 w - - 0 43,e2d1
8/p1b5/8/2pk4/3P1pNp/P2K4/6P1/8 w - - 0 41,d4c5
r1bq3r/pp2k1bp/2nppnp1/6N1/2Q1P3/3P4/PPP2PPP/RNB1K2R w KQ - 3 10,g5f3
r3k2r/1bqn1pbp/pppp1np1/3p4/1PP1P3/2NBBP2/P3N1PP/2RQ1RK1 w kq - 0 13,c4d5
8/6b1/8/5k2/3q4/8/4K3/8 b - - 19 73,g7e5
4q3/6KP/3k4/8/8/8/8/8 b - - 10 54,e8e5
3n1rk1/7p/p1q3p1/1p6/3Q2P1/1K2P2P/1PP2P2/8 w - - 2 28,f2f4
2kr2r1/pp3p2/3q1n1Q/2p4p/2Pp2pN/3P2P1/PP5K/4RB1R b - - 2 28,f6e4
1r3N2/2p2k2/p2b1pn1/1p5p/4R3/3P2P1/PPP2P1P/R5KB b - - 0 22,f7f8
r4rk1/1b1n2pp/p1n1pq2/1p1p4/1P1P4/P1N2N2/4BPPP/1R1QR1K1 b - - 1 18,a8d8
8/p6p/2p3p1/4kp2/P1R4P/8/3K4/7r b - - 1 38,e5d5
r1bqk2r/p4p2/1p2pn1p/8/2Bn2p1/2N3B1/PP3PPP/R2QK2R w KQkq - 0 15,g3e5
8/2p2k2/4p3/r4p1p/3PP1pP/1P6/P2Q2P1/1K3q2 w - - 0 32,b1b2
r2qk2r/pp2bppp/2n1pn2/3p4/3P4/2N2B2/PPP1QPPP/R1B2RK1 w kq - 4 10,e2d1
rn1qkbnr/ppp1pppp/8/5b2/3P4/2N4N/PPP2PPP/R1BQKB1R b KQkq - 2 5,f5h3
rn1qr1k1/pb1n1pbp/1p4p1/2ppp1P1/7P/PP1PP3/1BPNQPB1/R3K1NR b KQ - 0 12,b6b5
1r3bnr/2Nk1pp1/3p3p/Qpn3q1/4P3/6B1/PPP2PPP/R3R1K1 w - - 12 22,e4e5
1k6/p2r3p/1p3p2/2p3p1/3q4/6P1/5P1P/1Q3RK1 b - - 0 30,d4d5
rnbqk1nr/4ppbp/p2p2p1/1PpP4/4P3/2N5/PP3PPP/R1BQKBNR w KQkq - 0 7,a2a4
